state,winstate_inc,winstate_chal,state_full,evs,state_lab
AL,0.21375,99.78625,Alabama,9,AL
AK,22.84,77.16,Alaska,3,AK
AZ,28.28375,71.71625,Arizona,11,AZ
AR,0.41625,99.58375,Arkansas,6,AR
CA,99.9525,0.0475,California,54,CA
CO,98.53,1.47,Colorado,10,CO
CT,99.705,0.295,Connecticut,7,CT
DE,99.90875,0.09125,Delaware,3,DE
DC,99.99751,0.0025,District of Columbia,3,DC
FL,7.19,92.81,Florida,30,FL
GA,41.125,58.875,Georgia,16,GA
HI,96.62251,3.3775,Hawaii,4,HI
ID,0.115,99.885,Idaho,4,ID
IL,99.9425,0.0575,Illinois,19,IL
IN,0.08875,99.91125,Indiana,11,IN
IA,15.03,84.97,Iowa,6,IA
KS,0.1925,99.8075,Kansas,6,KS
KY,0.08,99.92,Kentucky,8,KY
LA,0.7375,99.2625,Louisiana,8,LA
ME,87.34375,12.65625,Maine,2,ME
MD,99.9675,0.0325,Maryland,10,MD
MA,99.79125,0.20875,Massachusetts,11,MA
MECD1,99.26,0.74,ME-1,1,ME-1
MECD2,23.68625,76.31375,ME-2,1,ME-2
MI,61.84375,38.15625,Michigan,15,MI
MN,86.445,13.555,Minnesota,10,MN
MS,5.0375,94.9625,Mississippi,6,MS
MO,0.07625,99.92374,Missouri,10,MO
MT,1.90875,98.09125,Montana,4,MT
NECD1,0.2325,99.7675,NE-1,1,NE-1
NECD2,92.85249,7.1475,NE-2,1,NE-2
NECD3,0.06875,99.93125,NE-3,1,NE-3
NE,0.20125,99.79875,Nebraska,2,NE
NV,45.72375,54.27625,Nevada,6,NV
NH,85.8625,14.1375,New Hampshire,4,NH
NJ,99.31625,0.68375,New Jersey,14,NJ
NM,87.0625,12.9375,New Mexico,5,NM
NY,99.77125,0.22875,New York,28,NY
NC,38.56125,61.43875,North Carolina,16,NC
ND,0.855,99.145,North Dakota,3,ND
OH,2.88875,97.11125,Ohio,17,OH
OK,0.025,99.975,Oklahoma,7,OK
OR,97.18125,2.81875,Oregon,8,OR
PA,48.7175,51.2825,Pennsylvania,19,PA
RI,99.245,0.755,Rhode Island,4,RI
SC,1.28125,98.71875,South Carolina,9,SC
SD,0.80875,99.19125,South Dakota,3,SD
TN,0.045,99.955,Tennessee,11,TN
TX,3.2675,96.7325,Texas,40,TX
UT,0.865,99.135,Utah,6,UT
VT,99.76375,0.23625,Vermont,3,VT
VA,93.71125,6.28875,Virginia,13,VA
WA,99.66625,0.33375,Washington,12,WA
WV,0.31,99.69,West Virginia,4,WV
WI,59.0375,40.9625,Wisconsin,10,WI
WY,0.09875,99.90125,Wyoming,3,WY
